film,genre,year
"Waitress","Romance","2007"
"Tyler Perry's Why Did I get Married","Romance","2007"
"The Heartbreak Kid","Comedy","2007"
"P.S. I Love You","Romance","2007"
"No Reservations","Comedy","2007"
"Music and Lyrics","Romance","2007"
"License to Wed","Comedy","2007"
"Knocked Up","Comedy","2007"
"Good Luck Chuck","Comedy","2007"
"Enchanted","Comedy","2007"
"Across the Universe","romance","2007"
"Zack and Miri Make a Porno","Romance","2008"
"What Happens in Vegas","Comedy","2008"
"WALL-E","Animation","2008"
"Twilight","Romance","2008"
"The Duchess","Drama","2008"
"The Curious Case of Benjamin Button","Fantasy","2008"
"Sex and the City","Comedy","2008"
"Rachel Getting Married","Drama","2008"
"Penelope","Comedy","2008"
"Over Her Dead Body","Comedy","2008"
"Nick and Norah's Infinite Playlist","Comedy","2008"
"Miss Pettigrew Lives for a Day","Comedy","2008"
"Marley and Me","Comedy","2008"
"Mamma Mia!","Comedy","2008"
"Mamma Mia!","Comedy","2008"
"Made of Honor","Comdy","2008"
"High School Musical 3: Senior Year","Comedy","2008"
"Four Christmases","Comedy","2008"
"Fireproof","Drama","2008"
"27 Dresses","Comedy","2008"
"The Ugly Truth","Comedy","2009"
"The Twilight Saga: New Moon","Drama","2009"
"The Time Traveler's Wife","Drama","2009"
"The Proposal","Comedy","2009"
"The Invention of Lying","Comedy","2009"
"Not Easily Broken","Drama","2009"
"Love Happens","Drama","2009"
"It's Complicated","Comedy","2009"
"He's Just Not That Into You","Comedy","2009"
"Ghosts of Girlfriends Past","Comedy","2009"
"A Serious Man","Drama","2009"
"(500) Days of Summer","comedy","2009"
"Youth in Revolt","Comedy","2010"
"You Will Meet a Tall Dark Stranger","Comedy","2010"
"When in Rome","Comedy","2010"
"Valentine's Day","Comedy","2010"
"The Back-up Plan","Comedy","2010"
"Tangled","Animation","2010"
"She's Out of My League","Comedy","2010"
"Sex and the City Two","Comedy","2010"
"Sex and the City 2","Comedy","2010"
"Remember Me","Drama","2010"
"Our Family Wedding","Comedy","2010"
"Love & Other Drugs","Comedy","2010"
"Life as We Know It","Comedy","2010"
"Letters to Juliet","Comedy","2010"
"Leap Year","Comedy","2010"
"Killers","Action","2010"
"Just Wright","Comedy","2010"
"I Love You Phillip Morris","Comedy","2010"
"Going the Distance","Comedy","2010"
"Dear John","Drama","2010"
"Water For Elephants","Drama","2011"
"Waiting For Forever","Romance","2011"
"Twilight: Breaking Dawn","Romance","2011"
"Something Borrowed","Romance","2011"
"One Day","Romance","2011"
"New Year's Eve","Romance","2011"
"My Week with Marilyn","Drama","2011"
"Monte Carlo","Romance","2011"
"Midnight in Paris","Romence","2011"
"Jane Eyre","Romance","2011"
"Gnomeo and Juliet","Animation","2011"
"Gnomeo and Juliet","Animation","2011"
"Beginners","Comedy","2011"
"A Dangerous Method","Drama","2011"
